hero_id,winrate,pickrate,best_teammate,best_teammate_synergy,best_matchups,worst_counters
68,0.511,0.066,61,0.096,"[(59, -0.158), (72, -0.089), (10, -0.085), (99, -0.077), (121, -0.073)]","[(61, 0.156), (56, 0.113), (77, 0.107), (108, 0.095), (38, 0.095)]"
129,0.491,0.131,61,0.084,"[(121, -0.081), (58, -0.072), (35, -0.065), (93, -0.064), (90, -0.061)]","[(108, 0.105), (82, 0.082), (61, 0.08), (80, 0.074), (77, 0.069)]"
44,0.474,0.192,61,0.049,"[(90, -0.088), (53, -0.084), (58, -0.084), (1, -0.083), (70, -0.08)]","[(108, 0.116), (61, 0.116), (4, 0.112), (6, 0.079), (82, 0.077)]"
79,0.464,0.032,61,0.064,"[(121, -0.088), (72, -0.085), (94, -0.081), (90, -0.08), (76, -0.065)]","[(108, 0.139), (61, 0.137), (77, 0.097), (66, 0.092), (80, 0.091)]"
60,0.529,0.072,56,0.066,"[(76, -0.07), (69, -0.068), (121, -0.067), (58, -0.065), (1, -0.055)]","[(61, 0.199), (77, 0.122), (108, 0.117), (89, 0.113), (92, 0.092)]"
112,0.496,0.047,61,0.088,"[(23, -0.077), (53, -0.076), (121, -0.075), (94, -0.065), (33, -0.059)]","[(108, 0.104), (59, 0.092), (61, 0.085), (4, 0.082), (45, 0.081)]"
47,0.54,0.064,61,0.089,"[(99, -0.108), (72, -0.093), (114, -0.081), (46, -0.073), (67, -0.071)]","[(61, 0.27), (56, 0.149), (77, 0.129), (6, 0.097), (113, 0.092)]"
87,0.492,0.112,61,0.091,"[(93, -0.076), (65, -0.076), (1, -0.071), (69, -0.067), (121, -0.066)]","[(61, 0.136), (108, 0.111), (56, 0.107), (77, 0.083), (6, 0.079)]"
34,0.491,0.047,56,0.064,"[(114, -0.096), (76, -0.095), (90, -0.083), (109, -0.079), (72, -0.075)]","[(61, 0.188), (45, 0.095), (108, 0.083), (77, 0.082), (73, 0.079)]"
42,0.487,0.077,61,0.079,"[(105, -0.09), (69, -0.09), (58, -0.086), (13, -0.075), (70, -0.065)]","[(61, 0.186), (108, 0.167), (77, 0.091), (82, 0.087), (6, 0.075)]"
64,0.513,0.118,61,0.087,"[(72, -0.073), (121, -0.068), (23, -0.068), (94, -0.065), (69, -0.065)]","[(61, 0.124), (108, 0.118), (56, 0.116), (6, 0.095), (59, 0.072)]"
126,0.506,0.115,108,0.066,"[(76, -0.071), (79, -0.067), (72, -0.064), (35, -0.059), (65, -0.058)]","[(108, 0.137), (82, 0.127), (6, 0.089), (77, 0.089), (59, 0.077)]"
105,0.464,0.06,61,0.073,"[(63, -0.086), (93, -0.081), (10, -0.08), (69, -0.073), (12, -0.072)]","[(61, 0.123), (108, 0.109), (92, 0.098), (20, 0.089), (6, 0.083)]"
12,0.465,0.049,61,0.065,"[(58, -0.102), (53, -0.082), (65, -0.082), (42, -0.08), (79, -0.078)]","[(108, 0.174), (55, 0.137), (61, 0.123), (82, 0.123), (52, 0.081)]"
21,0.495,0.234,61,0.079,"[(70, -0.082), (121, -0.077), (114, -0.076), (90, -0.074), (65, -0.071)]","[(61, 0.154), (56, 0.102), (77, 0.096), (6, 0.09), (108, 0.087)]"
52,0.517,0.038,4,0.052,"[(89, -0.117), (12, -0.1), (93, -0.076), (69, -0.069), (121, -0.069)]","[(6, 0.115), (61, 0.113), (56, 0.089), (108, 0.087), (4, 0.084)]"
101,0.503,0.082,61,0.105,"[(121, -0.083), (65, -0.073), (70, -0.071), (76, -0.07), (58, -0.069)]","[(61, 0.146), (77, 0.103), (56, 0.097), (108, 0.092), (6, 0.091)]"
23,0.452,0.069,82,0.059,"[(1, -0.089), (94, -0.085), (121, -0.076), (89, -0.075), (58, -0.073)]","[(108, 0.125), (6, 0.097), (4, 0.096), (56, 0.069), (59, 0.064)]"
69,0.437,0.076,61,0.072,"[(121, -0.08), (90, -0.071), (13, -0.059), (70, -0.059), (12, -0.056)]","[(61, 0.158), (56, 0.103), (77, 0.103), (6, 0.091), (108, 0.089)]"
93,0.468,0.135,61,0.075,"[(65, -0.122), (99, -0.097), (58, -0.072), (69, -0.068), (1, -0.066)]","[(61, 0.118), (6, 0.105), (4, 0.099), (108, 0.096), (45, 0.08)]"
1,0.45,0.174,61,0.052,"[(94, -0.146), (34, -0.099), (17, -0.084), (99, -0.081), (72, -0.08)]","[(82, 0.155), (61, 0.153), (56, 0.117), (6, 0.1), (80, 0.099)]"
30,0.498,0.126,61,0.076,"[(69, -0.074), (72, -0.07), (121, -0.068), (76, -0.061), (96, -0.06)]","[(61, 0.169), (6, 0.097), (56, 0.095), (108, 0.082), (92, 0.081)]"
56,0.587,0.086,108,0.099,"[(17, -0.085), (72, -0.082), (1, -0.08), (69, -0.079), (13, -0.069)]","[(61, 0.258), (82, 0.225), (6, 0.129), (77, 0.126), (89, 0.117)]"
39,0.47,0.14,61,0.07,"[(76, -0.117), (65, -0.114), (90, -0.087), (114, -0.078), (72, -0.075)]","[(61, 0.119), (108, 0.1), (56, 0.093), (6, 0.083), (92, 0.081)]"
29,0.518,0.069,61,0.078,"[(65, -0.093), (12, -0.089), (72, -0.074), (94, -0.063), (42, -0.063)]","[(108, 0.133), (56, 0.111), (6, 0.11), (8, 0.082), (4, 0.078)]"
25,0.497,0.139,61,0.107,"[(121, -0.081), (1, -0.067), (69, -0.064), (58, -0.061), (72, -0.058)]","[(6, 0.109), (61, 0.109), (108, 0.103), (77, 0.101), (56, 0.096)]"
121,0.437,0.084,61,0.071,"[(76, -0.074), (70, -0.069), (12, -0.068), (93, -0.067), (65, -0.067)]","[(6, 0.099), (4, 0.096), (56, 0.093), (108, 0.085), (61, 0.084)]"
95,0.519,0.054,61,0.073,"[(1, -0.094), (106, -0.067), (12, -0.067), (28, -0.065), (70, -0.064)]","[(108, 0.12), (6, 0.118), (45, 0.115), (61, 0.11), (15, 0.095)]"
11,0.477,0.138,6,0.074,"[(121, -0.076), (82, -0.072), (69, -0.069), (1, -0.068), (106, -0.064)]","[(61, 0.099), (6, 0.095), (108, 0.089), (92, 0.089), (113, 0.086)]"
8,0.529,0.227,108,0.067,"[(23, -0.082), (90, -0.081), (72, -0.081), (65, -0.078), (121, -0.077)]","[(61, 0.172), (56, 0.107), (92, 0.098), (6, 0.088), (77, 0.078)]"
17,0.484,0.115,108,0.062,"[(76, -0.093), (65, -0.084), (35, -0.081), (79, -0.069), (69, -0.066)]","[(56, 0.157), (82, 0.119), (108, 0.106), (6, 0.078), (61, 0.075)]"
90,0.443,0.032,61,0.071,"[(12, -0.098), (1, -0.084), (94, -0.078), (121, -0.068), (72, -0.068)]","[(61, 0.127), (108, 0.115), (6, 0.107), (4, 0.089), (56, 0.079)]"
2,0.502,0.121,61,0.081,"[(12, -0.094), (1, -0.091), (90, -0.07), (58, -0.063), (26, -0.059)]","[(61, 0.122), (6, 0.1), (108, 0.095), (40, 0.082), (47, 0.074)]"
